year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
1992,14564.0244140625,15346.1396484375,1.520813,0.7529498934745789,NA,2.88944149017334,10686.140625,13011.3681640625,14039.1591796875,14033.283203125,67097.3359375,NA,NA,NA,17355.078125,11868.390625,14426.43359375,95692.90625,NA,NA,NA,0.6554229259490967,0.010241090320050716,0.035136766731739044,0.20781633528977694,0.26590725779533386,0.308758020401001,0.3088873028755188,Extrapolated,Benchmark,Estimated,Regular,Regular,NA,NA,0.5036630034446716,0.1656937301158905,0.2578223943710327,0.41093486547470093,-0.3559979200363159,0.017883867025375366,0.30863156914711,0.5056890249252319,0.18244412541389465,0.42174509167671204,0.4388243556022644,0.4210478663444519,NA
1993,13975.505859375,14608.9482421875,1.4880609999999999,0.6958970427513123,NA,2.936061382293701,11589.9013671875,13655.71484375,13434.681640625,13317.8388671875,66812.4609375,NA,NA,NA,16358.810546875,12096.111328125,14150.3662109375,95098.984375,NA,NA,NA,0.6554229259490967,0.009999999776482582,0.034284189343452454,0.3647140629499051,0.27117422223091125,0.31133413314819336,0.3140656054019928,Extrapolated,Benchmark,Estimated,Regular,Lower bound,NA,NA,0.48229479789733887,0.1551162451505661,0.3879591226577759,0.4697272777557373,-0.5169855356216431,0.021888146176934242,0.3609214127063751,0.5366446375846863,0.15960422158241272,0.4265154004096985,0.4108187258243561,0.43761488795280457,NA
1994,13507.5673828125,14098.3779296875,1.457093,0.6728333234786987,NA,2.983433961868286,11964.8916015625,13968.9814453125,12953.2841796875,13059.9091796875,66699.3046875,0.0012194024166092277,0.42883291840553284,0.4522670805454254,16032.9765625,12344.8330078125,14379.9794921875,94826.984375,0.3997461795806885,0.6089106202125549,0.5104062557220459,0.6554229259490967,0.009999999776482582,0.03355487808585167,0.49856911415762156,0.2820775806903839,0.32323092222213745,0.3205919563770294,Extrapolated,Benchmark,Estimated,Regular,Lower bound,NA,NA,0.4968762993812561,0.15345357358455658,0.41927796602249146,0.48753970861434937,-0.5778118371963501,0.020664270967245102,0.37528643012046814,0.5689260363578796,0.1716180145740509,0.45357128977775574,0.4376808702945709,0.45584043860435486,0.4141261577606201
1995,14938.77734375,15416.9990234375,1.4330239999999999,0.6319484710693359,1983.2291416997448,3.0315706729888916,13217.4482421875,15246.388671875,14262.091796875,14179.396484375,66647.671875,0.0012746788561344147,0.46281853318214417,0.4916113018989563,16766.56640625,13395.0712890625,15468.62109375,94751.234375,0.4022621214389801,0.6527112722396851,0.5627907514572144,0.6460445523262024,0.011779854074120522,0.03314576297998428,0.6393574102263402,0.2721494138240814,0.31346645951271057,0.3152945935726166,Extrapolated,Benchmark,Estimated,Regular,Regular,NA,NA,0.48798099160194397,0.14309072494506836,0.4441777765750885,0.419127494096756,-0.4982932209968567,0.003916222136467695,0.36092665791511536,0.5826245546340942,0.17461729049682617,0.49631956219673157,0.4636145234107971,0.4513643980026245,0.413873553276062
1996,15713.5908203125,16587.37890625,1.4177359999999999,0.6195777654647827,1982.2822596246945,3.083890438079834,13612.5166015625,16011.201171875,14818.2421875,15032.25390625,67251.171875,0.0012349028838798404,0.48559388518333435,0.5107066035270691,17594.162109375,14195.888671875,16964.603515625,95361.8203125,0.40488919615745544,0.6847552061080933,0.617061972618103,0.651069164276123,0.01842561736702919,0.03293270245194435,0.7693684250891568,0.2826308310031891,0.32239043712615967,0.3178006410598755,Benchmark,Benchmark,Market-based,Regular,Regular,0.7555695580152375,NA,0.5100977420806885,0.15956921875476837,0.3954561650753021,0.3995607793331146,-0.48849475383758545,0.02381081134080887,0.36066603660583496,0.5480260252952576,0.1819734126329422,0.4879961609840393,0.4670185446739197,0.4258001744747162,0.4255785644054413
1997,16534.240234375,16856.13671875,1.409673,0.6234251260757446,1980.5513646261002,3.137112855911255,14080.40234375,17172.865234375,15737.130859375,15544.7763671875,65765.5,0.0011826531263068318,0.49133747816085815,0.5360453724861145,19889.58984375,15524.53515625,19492.1953125,96909.0546875,0.41872403025627136,0.7538906335830688,0.6904966235160828,0.6299694180488586,0.02947796694934368,0.03303155303001404,0.8872055270793655,0.28647738695144653,0.32710400223731995,0.33115166425704956,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.5507202744483948,0.1989389806985855,0.3550761640071869,0.4868014454841614,-0.6033048033714294,0.011767992749810219,0.3483191728591919,0.512082576751709,0.19056130945682526,0.47940734028816223,0.44336605072021484,0.41477373242378235,0.4809826910495758
1998,16816.333984375,16649.70703125,1.4063489999999998,0.616190493106842,1980.1614480227793,3.191254138946533,14081.25,17580.138671875,16023.029296875,15879.765625,62969.67578125,0.0011335735907778144,0.48981598019599915,0.5324259996414185,20750.8671875,16111.8369140625,20862.65625,99605.9609375,0.4441682994365692,0.7666962146759033,0.720402181148529,0.6144376397132874,0.03887801244854927,0.03375118970870972,0.8995351492763072,0.3138220012187958,0.35336118936538696,0.35654914379119873,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.5503222346305847,0.22033630311489105,0.33641937375068665,0.5732916593551636,-0.6790235042572021,-0.001346136792562902,0.37137436866760254,0.5124863386154175,0.21967655420303345,0.4586162269115448,0.43752560019493103,0.4286251962184906,0.5636624693870544
1999,16735.62890625,16470.48046875,1.403789,0.59236907958984375,1977.344912501444,3.2463295459747314,13769.2646484375,16696.43359375,16053.1552734375,15839.46484375,60548.73828125,0.0010673371143639088,0.49196547269821167,0.5041193962097168,20667.15234375,16206.4033203125,20039.88671875,101315.1015625,0.45927855372428894,0.7643692493438721,0.692685604095459,0.5904892683029175,0.04709301516413689,0.03454545512795448,0.9380685473734443,0.3273315131664276,0.35936853289604187,0.36421677470207214,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.550624668598175,0.18480220437049866,0.3186764419078827,0.570021390914917,-0.6278562545776367,0.003731533419340849,0.37045595049858093,0.5100691914558411,0.2528190016746521,0.44601351022720337,0.43033915758132935,0.4355427920818329,0.6145018339157104
2000,18232.93359375,18203.150390625,1.399112,0.5998353362083435,1977.8728856996413,3.3023555278778076,14490.7802734375,18029.892578125,17601.3828125,17468.90234375,59505.42578125,0.0010050928685814142,0.5301674008369446,0.5263612866401672,22755.880859375,16869.970703125,21749.171875,103625.921875,0.47806334495544434,0.8134084343910217,0.7265676856040955,0.5861191749572754,0.05473862215876579,0.03521506115794182,1.0844935427931095,0.2909788191318512,0.3237418532371521,0.3261969983577728,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5385898947715759,0.20259499549865723,0.2909287214279175,0.4566563069820404,-0.4967903196811676,0.00802035816013813,0.3285110294818878,0.45788899064064026,0.22149626910686493,0.43963542580604553,0.42537030577659607,0.39720234274864197,0.6306266188621521
2001,19109.80859375,19155.50390625,1.39173,0.6038687229156494,1970.4960924226978,3.31723690032959,15167.435546875,19138.5703125,18582.66015625,18314.220703125,60162.11328125,9.673744789324701e-4,0.5532898902893066,0.5548306703567505,24116.58984375,17833.830078125,23514.537109375,106549.671875,0.5009487271308899,0.8415666818618774,0.7668799757957458,0.5699298977851868,0.06339644640684128,0.03623110055923462,1.117052364944035,0.30304884910583496,0.33684760332107544,0.34178492426872253,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5431716442108154,0.2168334573507309,0.28500640392303467,0.485128253698349,-0.539725661277771,0.009585944004356861,0.34374576807022095,0.4659392535686493,0.22548773884773254,0.43121764063835144,0.4126112163066864,0.4099741578102112,0.7311882972717285
2002,20424.015625,20390.423828125,1.3827319999999999,0.6036743521690369,1972.6898895497027,3.3321855068206787,16564.259765625,21287.978515625,19980.65625,19691.4921875,57993.1875,9.248583228327334e-4,0.5983341336250305,0.6158560514450073,25757.099609375,19261.73828125,26450.455078125,110838.46875,0.5306920409202576,0.8739225268363953,0.8387401700019836,0.5598159432411194,0.07107580453157425,0.03763448819518089,1.0616869905709014,0.32768514752388,0.3689842224121094,0.3744026720523834,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5650038719177246,0.23988625407218933,0.27618473768234253,0.4861941933631897,-0.5758593082427979,0.008590277284383774,0.3665791451931,0.5138042569160461,0.2481178641319275,0.4460285007953644,0.4247037172317505,0.4733431935310364,0.866263747215271
2003,22031.78515625,21755.271484375,1.372909,0.6160734295845032,1978.3347196805855,3.347201347351074,17491.00390625,23476.30859375,21674.7109375,21003.548828125,66096.609375,0.0010506784310564399,0.5814877152442932,0.6169900894165039,27706.056640625,20839.240234375,29408.921875,116242.515625,0.5695233345031738,0.8971554040908813,0.8900007605552673,0.5542210340499878,0.0750827044248581,0.039622917771339417,0.8855860956700204,0.41297784447669983,0.4557288587093353,0.4702916145324707,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5764796733856201,0.2849663197994232,0.25628453493118286,0.5459108352661133,-0.6650136709213257,0.001372256432659924,0.4498753249645233,0.5806612372398376,0.32998162508010864,0.4922613501548767,0.46385011076927185,0.5373207330703735,0.966191828250885
2004,23785.50390625,22754.521484375,1.363565,0.6130917072296143,1986.4606647736762,3.3622848987579346,18455.697265625,25211.20703125,23462.03515625,22090.310546875,72411.2890625,0.0011432298924773932,0.5740288496017456,0.618363082408905,29581.05078125,22232.859375,31416.904296875,121656.71875,0.6050606369972229,0.9304007887840271,0.9235027432441711,0.5528367161750793,0.0779939591884613,0.041430093348026276,0.8050032331614727,0.4790075123310089,0.5176169872283936,0.5497591495513916,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5907716155052185,0.3058132529258728,0.24469411373138428,0.6284376382827759,-0.7733684778213501,0.0036518124397844076,0.5145189166069031,0.6230961084365845,0.3932713270187378,0.5343904495239258,0.4898376762866974,0.5884689092636108,1.0157581567764282
2005,26868.25,27508.767578125,1.355648,0.6269555687904358,2008.3733463988242,3.377436399459839,20309.888671875,28231.62890625,26996.197265625,25693.7734375,81680.8671875,0.001273887581191957,0.6128822565078735,0.6246770620346069,32388.3828125,24018.443359375,33840.24609375,128291.453125,0.6437838077545166,0.9702382683753967,0.9474165439605713,0.5456136465072632,0.08570002019405365,0.04236755520105362,0.8042505455459642,0.49414336681365967,0.5221360325813293,0.5486032366752625,Benchmark,Benchmark,Market-based,Regular,Regular,0.7525999850824551,NA,0.5632365942001343,0.30831360816955566,0.2272229790687561,0.6665070056915283,-0.7702353000640869,0.00495507288724184,0.5282527208328247,0.5939039587974548,0.4095936119556427,0.5389202833175659,0.5024676322937012,0.5806910395622253,0.9779505133628845
2006,30189.552734375,29743.650390625,1.3493629999999999,0.6583935022354126,2000.9903456867019,3.396261215209961,22092.572265625,33059.55078125,30105.93359375,28654.49609375,97972.7578125,0.0014870113227516413,0.6109296679496765,0.6586388349533081,35536.1328125,26632.201171875,39761.65625,137137.375,0.7008749842643738,0.9962471127510071,1.041788935661316,0.5473480820655823,0.08496302366256714,0.0434911884367466,0.7966896167711979,0.5389547944068909,0.5653731226921082,0.5940109491348267,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5559600591659546,0.38273152709007263,0.21503835916519165,0.6692419052124023,-0.8260239362716675,0.003052094951272011,0.5766226649284363,0.618591845035553,0.4415683150291443,0.5618963241577148,0.5279924869537354,0.5891854166984558,0.9507442712783813
2007,34363.37890625,33259.4765625,1.344296,0.6601514220237732,1998.4846129934722,3.415191173553467,24339.880859375,36913.734375,34080.16015625,32105.66015625,111481.296875,0.0016425267094746232,0.6466797590255737,0.7020613551139832,38227.4921875,28731.857421875,43424.24609375,146647.328125,0.7622876167297363,1.0283949375152588,1.0917788743972778,0.5626782178878784,0.0825246050953865,0.0451192781329155,0.7307563941151715,0.6297113299369812,0.6584705114364624,0.6989664435386658,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5425705313682556,0.3916398286819458,0.21554751694202423,0.7120579481124878,-0.8665898442268372,0.004774024710059166,0.6726247668266296,0.7141410708427429,0.5216906666755676,0.6145738363265991,0.5758943557739258,0.6724482178688049,1.0440270900726318
2008,34698.3125,33808.23046875,1.3400729999999998,0.6585113406181335,1967.7698177853915,3.4342265129089355,25161.994140625,35781.8359375,34612.2734375,31490.09375,128713.9765625,0.0018421702552586794,0.6069346070289612,0.6557066440582275,36282.11328125,28066.830078125,39712.49609375,153469.21875,0.8012557625770569,0.9630181193351746,0.9851160645484924,0.606481671333313,0.0657287985086441,0.04599623754620552,0.6834994883132007,0.6944543123245239,0.7032994627952576,0.773030161857605,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5494314432144165,0.337243914604187,0.24961332976818085,0.7537425756454468,-0.8952387571334839,0.0052075074054300785,0.7469661235809326,0.724256694316864,0.5788688659667969,0.6800841093063354,0.6062684059143066,0.6491423845291138,0.8927111625671387
2009,31391.69921875,30109.826171875,1.3361349999999999,0.5907371044158936,1832.1401318071453,3.4533679485321045,23002.205078125,29594.703125,31184.42578125,29005.587890625,144187.0625,0.0020501313265413046,0.5907518863677979,0.585761308670044,31045.203125,24998.951171875,31573.763671875,155004.390625,0.7998085618019104,0.9190377593040466,0.8735414147377014,0.6367396116256714,0.04361991211771965,0.04547790437936783,0.719480966157293,0.6355570554733276,0.6334208250045776,0.6810020804405212,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5233898162841797,0.22728373110294342,0.269636869430542,0.6455678343772888,-0.6674955487251282,0.001617316622287035,0.6882750988006592,0.6259673833847046,0.5332264304161072,0.6384391784667969,0.5671063661575317,0.5430305600166321,0.5924503207206726
2010,33060.0703125,31773.455078125,1.332101,0.5611211657524109,1874.7016967706622,3.472615957260132,23736.5390625,30845.8828125,32938.34765625,30269.966796875,152235.3125,0.0021314548794180155,0.5958598256111145,0.585566520690918,31880.421875,24785.60546875,31854.216796875,156427.8125,0.803342878818512,0.9554362297058105,0.8922014832496643,0.58596038818359375,0.06150295212864876,0.04455536976456642,0.7545951347190253,0.598448634147644,0.5978929400444031,0.65059894323349,Benchmark,Benchmark,Market-based,Regular,Regular,NA,NA,0.5233930945396423,0.23486462235450745,0.2607683539390564,0.752468466758728,-0.7713338732719421,-1.6062498616520315e-4,0.6471805572509766,0.5960378050804138,0.5006377696990967,0.6436688303947449,0.5742073059082031,0.48806414008140564,0.6193445324897766
2011,36962.33984375,35455.7734375,1.327709,0.5977149605751038,1918.86301369863,3.4923617839813232,25510.431640625,34915.80859375,37045.84765625,33328.65625,168838,0.0023232167586684227,0.5923143625259399,0.5954281687736511,34253.578125,25570.900390625,34713.90625,160791.640625,0.8297407031059265,0.9605217576026917,0.9097520709037781,0.556496798992157,0.07505370676517487,0.0444406196475029,0.719355253609154,0.6308584809303284,0.6314210295677185,0.7018444538116455,Benchmark,Benchmark,Market-based,Regular,Regular,0.7168766450119732,NA,0.508110761642456,0.2822009027004242,0.25730955600738525,0.8761247992515564,-0.9236043691635132,-1.4167856716085225e-4,0.6915178894996643,0.6329469084739685,0.5110740661621094,0.6875975728034973,0.6084505319595337,0.49710699915885925,0.7053123116493225
2012,38654.671875,37414.0078125,1.323159,0.6075270771980286,1885.686604886268,3.5123534202575684,26798.126953125,38155.65234375,38793.16796875,35087.0234375,171680.171875,0.0023600184358656406,0.6092188954353333,0.6365523934364319,35323.94921875,26599.9140625,37436.4375,166207.765625,0.8648831844329834,0.9700238704681396,0.9607845544815063,0.5566624999046326,0.07333580404520035,0.04509907588362694,0.778293601412852,0.5990120768547058,0.5978555083274841,0.6610053181648254,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.6694689240545691,NA,0.5142038464546204,0.3236958980560303,0.24955794215202332,0.8435551524162292,-0.9310129880905151,5.539940062249116e-8,0.6515986919403076,0.5951265692710876,0.4906595051288605,0.6705028414726257,0.595849335193634,0.4894953966140747,0.6643235087394714
2013,39013.62109375,37724.66796875,1.319062,0.6153836250305176,1865.8429023131969,3.5325937271118164,27351.41015625,37843.8671875,38880.50390625,35567.80078125,177134.5,0.002380566205829382,0.6067050695419312,0.6246508359909058,35799.4765625,27483.669921875,37941.49609375,171385.265625,0.8969779014587402,0.9630677700042725,0.9539222121238708,0.5599730610847473,0.07247650623321533,0.0457867793738842,0.75315918184727,0.6496426463127136,0.6499763131141663,0.7105135917663574,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.711898564861224,NA,0.5169484615325928,0.29499873518943787,0.25204509496688843,0.8642504215240479,-0.9282426834106445,-5.253924584280867e-8,0.7053965330123901,0.6508461236953735,0.5352904796600342,0.690769374370575,0.6227400302886963,0.5172480344772339,0.6838759779930115
2014,40133.91796875,38474.625,1.316277,0.620032787322998,1859.4318744838977,3.5530872344970703,27854.28515625,38637.5390625,40025.05078125,36252.89453125,179884.265625,0.0023714175913482904,0.6077539324760437,0.6254735589027405,36868.921875,28309.201171875,39231.22265625,175910.96875,0.9232615828514099,0.9739799499511719,0.9685894846916199,0.5669429302215576,0.07364808768033981,0.04610348492860794,0.753730736717402,0.6691053509712219,0.6689178943634033,0.7385196089744568,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.7292001701150534,NA,0.5159791111946106,0.29744529724121094,0.25235363841056824,0.8539969325065613,-0.9197750091552734,-1.358799666073508e-16,0.7231694459915161,0.6684337854385376,0.5585622191429138,0.7033334970474243,0.6251997351646423,0.5252087712287903,0.687529444694519
2015,40839.21484375,37508.921875,1.3153249999999999,0.6373587846755981,1851.6166318831274,3.5738375186920166,29235.994140625,39015.875,40601.46484375,37122.71484375,175450.484375,0.0022738375701010227,0.615044891834259,0.6232415437698364,37549.11328125,29561.712890625,39879.81640625,179917.640625,0.9456207752227783,0.965568482875824,0.9584178328514099,0.5872491598129272,0.06844136118888855,0.04611395299434662,0.901658961641278,0.5619148015975952,0.5676855444908142,0.6208829879760742,ICP PPP timeseries: benchmark or interpolated,Benchmark,Market-based,Regular,Regular,0.7413134913063089,NA,0.5243632197380066,0.2634473145008087,0.2631867825984955,0.7436414957046509,-0.7946388125419617,0,0.6073357462882996,0.5849366188049316,0.4714198410511017,0.6418334245681763,0.57012939453125,0.46152839064598083,0.5673252940177917
